Section,Type Aditional Info,Type,Importance,Hint,Description,Learn More
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,<marquee> elements are deprecated and must not be used,"<code>&lt;marquee&gt;</code> elements must not be present because they are deprecated, increase difficulty for users with limited dexterity, and are distracting for users with cognitive or attention deficits.",https://dequeuniversity.com/rules/axe/4.4/marquee
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,Ensures <frame> and <iframe> elements with focusable content do not have tabindex=-1,"<code>%lt;frame%gt;</code> and <code>%lt;iframe%gt;</code> elements with focusable content must not have <code>tabindex=""-1""</code>.",https://dequeuniversity.com/rules/axe/4.4/frame-focusable-content
Accessibility,Best Practice Rules,Deque Best Practice,High,Elements should not have tabindex greater than zero,A <code>tabindex</code> attribute must never have a value greater than 0 to prevent an unexpected tab order that can give the appearance of skipping some elements entirely.,https://dequeuniversity.com/rules/axe/4.4/tabindex
Accessibility,Best Practice Rules,Deque Best Practice,High,accesskey attribute value must be unique,"All <code>accesskey</code> attribute values in a document must be unique. Put another way, <code>accesskey</code>s must not be repeated to prevent unexpected effects for keyboard users.",https://dequeuniversity.com/rules/axe/4.4/accesskeys
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",High,Frames must have title attribute,All <code>frame</code> or <code>iframe</code> elements in the document must have a title that is not empty to describe their contents to screen reader users.,https://dequeuniversity.com/rules/axe/4.4/frame-title
Accessibility,Best Practice Rules,Deque Best Practice,High,Frames must have a unique title attribute,All <code>frame</code> or <code>iframe</code> elements in the document must have a unique title to describe their contents to screen reader users.,https://dequeuniversity.com/rules/axe/4.4/frame-title-unique
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",High,<object> elements must have alternate text,All embedded objects must have text alternatives to be read out to screen reader users.,https://dequeuniversity.com/rules/axe/4.4/object-alt
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",Critical,Images must have alternate text,All images must have alternate text to convey their purpose and meaning to screen reader users.,https://dequeuniversity.com/rules/axe/4.4/image-alt
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,<li> elements must be contained in a <ul> or <ol>,All list items (<code>li</code>) must be contained within <code>ul</code> or <code>ol</code> parent elements.,https://dequeuniversity.com/rules/axe/4.4/listitem
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (AA), WCAG 2.0 (AA)",High,Text elements must have sufficient color contrast against the background,All text elements must have sufficient contrast between text in the foreground and background colors behind it in accordance with WCAG 2 AA contrast ratio thresholds.,https://dequeuniversity.com/rules/axe/4.4/color-contrast
